emg_value
5
-4
11
22
34
51
71
79
76
76
87
94
86
80
96
110
101
86
81
71
54
51
56
57
50
42
43
54
60
21
-75
-178
-245
-274
-282
-288
-294
-280
-234
-192
-197
-216
-212
-182
-155
-159
-174
-169
-141
-97
-41
20
82
141
190
230
248
240
222
214
219
215
198
186
185
185
173
152
130
109
96
100
123
151
187
228
240
213
170
120
55
-9
-55
-84
-110
-143
-167
-167
-151
-141
-156
-192
-234
-283
-370
-485
-547
-531
-479
-381
-233
-102
-21
52
145
230
280
294
284
270
250
221
201
199
200
176
127
85
79
105
124
112
85
62
39
15
4
6
14
20
18
11
11
18
20
10
-4
-12
-16
-30
-55
-80
-91
-88
-84
-78
-66
-57
-54
-53
-56
-65
-67
-62
-68
-88
-107
-114
-113
-112
-112
-100
-73
-52
-45
-41
-35
-27
-26
-32
-24
8
48
74
77
59
34
17
22
42
63
74
74
71
74
76
72
77
96
113
115
109
112
117
104
78
56
39
19
-4
-26
-37
-50
-75
-95
-87
-67
-53
-44
-40
-29
9
70
111
104
70
41
10
-39
-97
-152
-203
-230
-230
-233
-237
-210
-147
-83
-39
-5
41
100
150
166
163
162
165
165
150
120
86
61
44
27
18
24
29
27
23
26
38
49
55
47
26
2
-25
-56
-75
-69
-50
-55
-91
-122
-131
-133
-126
-107
-89
-73
-54
-32
0
22
14
-7
-7
26
58
66
62
55
48
42
44
61
81
89
83
82
102
136
167
179
170
153
132
107
90
93
111
120
101
59
8
-38
-80
-125
-173
-227
-290
-351
-384
-379
-366
-369
-355
-280
-177
-117
-113
-132
-151
-180
-230
-234
-125
33
151
223
273
305
312
311
318
317
302
275
240
204
179
165
151
134
120
120
131
133
122
105
82
56
31
2
-25
-43
-52
-63
-79
-87
-81
-71
-81
-109
-127
-129
-127
-130
-136
-137
-129
-124
-126
-127
-126
-134
-150
-155
-139
-109
-79
-64
-59
-54
-41
-18
7
22
26
29
32
37
39
33
33
51
76
79
63
57
63
71
78
77
72
70
69
69
70
75
85
103
124
122
103
102
113
97
55
11
-23
-57
-86
-104
-112
-111
-106
-111
-124
-131
-139
-157
-171
-168
-149
-120
-86
-45
-4
42
95
139
148
124
99
90
96
102
98
91
88
83
77
70
65
60
42
11
-11
-12
-7
-7
-8
-7
-2
13
30
34
24
6
-11
-19
-20
-20
-9
10
22
18
0
-21
-38
-72
-121
-155
-165
-173
-191
-203
-207
-211
-208
-200
-186
-156
-93
13
143
230
249
233
213
203
196
181
155
112
59
29
33
47
54
64
71
68
66
61
42
11
-11
-16
-11
-9
-14
-23
-28
-27
-29
-42
-64
-83
-82
-67
-58
-61
-58
-45
-33
-21
-9
-2
2
8
16
15
8
1
-2
-5
-10
-14
-12
-8
-8
-11
-7
0
8
8
5
10
22
27
22
15
16
25
32
29
16
4
3
14
17
5
-11
-33
-60
-75
-69
-47
-12
18
26
21
19
17
7
-4
-11
-9
1
11
12
13
25
40
42
27
7
1
4
4
1
0
-5
-7
0
4
-1
0
12
19
2
-22
-35
-39
-38
-41
-50
-54
-44
-28
-22
-19
0
26
45
45
31
18
20
30
36
40
51
70
79
65
37
17
5
-16
-46
-73
-83
-71
-60
-59
-51
-28
-10
-9
-19
-34
-35
-19
-6
-10
-18
-14
-2
-2
-12
-9
14
41
48
37
23
22
24
16
7
14
25
24
13
-2
-12
-11
0
15
26
31
27
10
-12
-35
-54
-58
-48
-36
-35
-42
-56
-74
-84
-92
-106
-111
-94
-70
-50
-28
1
28
47
58
55
45
49
66
71
60
55
60
67
69
62
48
43
48
52
49
53
61
62
53
44
41
48
63
69
65
63
58
48
36
26
26
39
44
29
3
-17
-36
-53
-55
-52
-57
-54
-46
-47
-52
-47
-40
-37
-34
-19
-2
-2
-19
-36
-49
-55
-49
-32
-23
-33
-45
-42
-31
-30
-32
-28
-24
-28
-33
-31
-27
-28
-38
-52
-54
-54
-67
-73
-46
-11
0
-1
-12
-36
-51
-24
29
69
89
102
110
105
78
50
43
64
96
104
90
81
80
70
53
40
39
41
41
51
75
104
122
111
71
23
-7
-8
11
20
-1
-32
-48
-57
-71
-98
-136
-185
-235
-267
-277
-268
-249
-239
-252
-269
-257
-224
-217
-239
-259
-256
-191
-46
114
243
348
428
455
433
406
395
377
341
299
264
232
189
143
106
81
59
31
0
-30
-56
-72
-82
-92
-94
-78
-66
-75
-92
-92
-74
-51
-45
-58
-72
-73
-70
-67
-65
-64
-59
-42
-25
-24
-32
-32
-27
-27
-33
-36
-32
-31
-39
-52
-64
-63
-51
-45
-42
-39
-38
-34
-29
-35
-47
-41
-18
0
-1
-11
-8
10
25
26
19
24
41
59
68
63
59
65
67
49
21
12
16
10
-7
-18
-11
12
31
28
22
28
40
45
37
21
10
11
20
31
30
16
4
-1
-6
-15
-29
-47
-67
-82
-79
-59
-32
-8
4
9
17
34
59
76
74
66
64
64
52
33
23
40
76
102
98
69
33
-2
-36
-56
-55
-47
-50
-62
-72
-74
-69
-70
-78
-75
-56
-33
-12
3
14
22
30
40
37
24
18
20
17
1
-20
-29
-23
-19
-21
-17
-5
2
7
10
4
-3
-1
6
3
-8
-12
-4
6
13
10
1
-3
-6
-21
-36
-33
-25
-28
-35
-37
-31
-13
16
28
14
5
18
36
40
32
19
6
6
20
21
5
-3
6
18
19
17
22
23
14
-4
-25
-35
-37
-36
-35
-43
-52
-51
-42
-40
-51
-52
-34
-11
-2
-2
-1
7
16
8
-7
-10
0
10
18
27
36
44
53
52
41
36
42
46
39
29
31
33
19
0
-10
-6
5
12
6
-5
-14
-10
9
18
6
-15
-32
-40
-50
-61
-62
-46
-15
6
10
9
8
10
12
11
12
8
-5
-20
-33
-37
-26
0
20
28
24
20
18
15
8
1
0
-3
-15
-27
-29
-18
0
9
5
1
6
16
20
23
32
38
33
26
19
14
16
24
23
11
1
-2
-3
-1
4
12
17
14
10
15
22
26
26
22
10
-3
-12
-25
-39
-49
-47
-35
-29
-36
-41
-36
-26
-14
-3
4
4
6
18
20
9
3
6
3
-13
-21
-11
0
0
-7
-11
-3
10
15
10
7
9
3
-9
-19
-27
-38
-47
-45
-35
-26
-11
4
3
-6
-10
-6
5
22
35
43
52
59
53
40
33
30
28
28
22
8
-6
-26
-42
-48
-44
-34
-14
6
11
7
15
35
47
48
44
37
26
23
26
17
0
-9
-11
-15
-20
-20
-16
-13
-18
-29
-37
-42
-44
-42
-39
-39
-47
-56
-60
-61
-52
-38
-24
-12
-7
-8
-4
1
2
4
18
39
52
45
30
28
42
63
73
68
61
68
83
77
46
20
18
36
55
62
60
39
-15
-82
-126
-153
-192
-242
-274
-277
-260
-239
-224
-212
-206
-187
-141
-88
-53
-32
-15
10
46
70
78
96
132
171
189
189
194
213
237
244
236
229
229
228
211
179
149
137
136
129
110
92
85
84
69
41
17
2
-6
-8
-8
-15
-35
-60
-82
-97
-103
-105
-108
-105
-95
-79
-61
-48
-45
-48
-49
-48
-49
-58
-75
-82
-68
-49
-47
-53
-40
-21
-21
-36
-48
-54
-66
-84
-92
-76
-40
-14
-8
-12
-18
-22
-27
-37
-45
-40
-25
-6
9
17
28
37
28
13
1
-2
3
13
15
16
24
38
54
56
43
40
51
54
43
28
18
12
8
1
-11
-18
-9
12
33
35
21
9
9
19
20
6
-7
-14
-26
-40
-41
-26
-4
5
1
-5
-10
-9
2
6
-3
-8
-1
10
10
0
-8
-8
-7
-8
-14
-28
-33
-22
-18
-20
-13
0
8
8
10
21
24
15
4
-2
-8
-10
0
9
9
12
18
15
8
4
8
15
20
24
32
42
49
54
42
21
11
19
39
41
28
26
37
37
22
3
-9
-12
-14
-25
-43
-60
-72
-79
-80
-77
-75
